selector_model,token_selector_version,selector_mode,use_perplexity,use_grammar_checker
v1,bert-base-cased,whole-word,True,True
v1,bert-base-cased,whole-word,True,False
v1,bert-base-cased,whole-word,False,True
v1,bert-base-cased,whole-word,False,False
v1,bert-base-cased,token,True,True
v1,bert-base-cased,token,True,False
v1,bert-base-cased,token,False,True
v1,bert-base-cased,token,False,False
v1,roberta-base,whole-word,True,True
v1,roberta-base,whole-word,True,False
v1,roberta-base,whole-word,False,True
v1,roberta-base,whole-word,False,False
v1,roberta-base,token,True,True
v1,roberta-base,token,True,False
v1,roberta-base,token,False,True
v1,roberta-base,token,False,False
v1,distilbert-base-cased,whole-word,True,True
v1,distilbert-base-cased,whole-word,True,False
v1,distilbert-base-cased,whole-word,False,True
v1,distilbert-base-cased,whole-word,False,False
v1,distilbert-base-cased,token,True,True
v1,distilbert-base-cased,token,True,False
v1,distilbert-base-cased,token,False,True
v1,distilbert-base-cased,token,False,False
v2,bert-base-cased,whole-word,True,True
v2,bert-base-cased,whole-word,True,False
v2,bert-base-cased,whole-word,False,True
v2,bert-base-cased,whole-word,False,False
v2,bert-base-cased,token,True,True
v2,bert-base-cased,token,True,False
v2,bert-base-cased,token,False,True
v2,bert-base-cased,token,False,False
v2,roberta-base,whole-word,True,True
v2,roberta-base,whole-word,True,False
v2,roberta-base,whole-word,False,True
v2,roberta-base,whole-word,False,False
v2,roberta-base,token,True,True
v2,roberta-base,token,True,False
v2,roberta-base,token,False,True
v2,roberta-base,token,False,False
v2,distilbert-base-cased,whole-word,True,True
v2,distilbert-base-cased,whole-word,True,False
v2,distilbert-base-cased,whole-word,False,True
v2,distilbert-base-cased,whole-word,False,False
v2,distilbert-base-cased,token,True,True
v2,distilbert-base-cased,token,True,False
v2,distilbert-base-cased,token,False,True
v2,distilbert-base-cased,token,False,False
